"id","org_flow_in", "person_flow_in", "price_chg"
3019,"-550.48","-867.71","(-3.41\\%)"
3020,"-6641.70","-369.30","(-1.45\\%)"
3021,"0.00","0.00","(0.00\\%)"
3022,"118.39","-475.43","(-0.11\\%)"
3023,"-167.63","-509.62","(-1.52\\%)"
3024,"803.62","-1124.51","(-0.32\\%)"
3025,"-856.96","-936.14","(-2.04\\%)"
3026,"0.00","0.00","(0.00\\%)"
3027,"114.39","229.61","(-0.25\\%)"
3028,"-32.47","-791.84","(-2.27\\%)"
3029,"140.88","-740.44","(0.00\\%)"
3030,"0.00","0.00","(0.00\\%)"
3031,"-692.39","-412.24","(-3.11\\%)"
3032,"-1239.26","889.81","(-1.21\\%)"
3033,"3834.74","155.49","(+1.19\\%)"
3034,"-1406.47","-584.45","(+0.11\\%)"
3035,"-425.32","-659.77","(-2.19\\%)"
3036,"-129.30","-121.17","(-0.45\\%)"
3037,"-139.29","-117.40","(-0.59\\%)"
3038,"366.25","-716.33","(+1.80\\%)"
3039,"-173.59","-513.68","(-0.12\\%)"
3040,"547.67","-334.83","(-0.48\\%)"
3041,"1321.52","-344.85","(+4.24\\%)"
3042,"-1316.12","-1388.07","(-2.73\\%)"
3043,"98.69","-97.24","(+0.10\\%)"
3044,"1058.47","-871.56","(+5.04\\%)"
3045,"-305.13","-795.74","(0.00\\%)"
3046,"-1117.50","-1252.13","(-1.95\\%)"
3047,"-250.55","-278.91","(-2.37\\%)"
3048,"329.81","-80.63","(-0.32\\%)"
3049,"-313.96","-1221.10","(-2.01\\%)"
3050,"-514.96","-492.48","(-1.51\\%)"
3051,"-547.02","-163.12","(-0.86\\%)"
3052,"-632.87","-486.62","(-0.79\\%)"
3053,"-792.56","-1036.37","(-1.43\\%)"
3054,"-108.49","-798.92","(-0.72\\%)"
3055,"-345.38","-478.82","(-3.74\\%)"
3056,"-9554.82","-1173.57","(-5.25\\%)"
3057,"1444.75","-745.31","(+0.52\\%)"
3058,"-8239.24","-1788.50","(-0.52\\%)"
3059,"-11322.26","-2210.86","(-6.24\\%)"
3060,"-611.87","-1351.25","(-2.71\\%)"
3061,"-909.06","-1664.31","(-2.95\\%)"
3062,"-3271.11","-1053.15","(-3.62\\%)"
3063,"-1336.89","-354.10","(-0.81\\%)"
3064,"0.00","0.00","(0.00\\%)"
3065,"-2655.78","-358.37","(-2.01\\%)"
3066,"-550.48","-867.71","(-3.41\\%)"
3067,"-1247.47","-276.01","(-1.96\\%)"
3068,"123.33","-6.11","(+0.20\\%)"
3069,"-44.18","-180.86","(-2.35\\%)"
3070,"-167.63","-509.62","(-1.52\\%)"
3071,"-3426.64","-888.94","(-1.34\\%)"
3072,"-9370.80","-335.83","(-0.32\\%)"
3073,"0.00","0.00","(0.00\\%)"
3074,"-1840.90","-761.03","(0.00\\%)"
3075,"-32.47","-791.84","(-2.27\\%)"
3076,"-4269.48","-1335.67","(-4.97\\%)"
3077,"0.00","0.00","(0.00\\%)"
3078,"-1046.49","-512.99","(-1.06\\%)"
3079,"-209.60","-192.79","(+0.18\\%)"
3080,"-1406.47","-584.45","(+0.11\\%)"
3081,"-1427.29","-563.36","(-3.24\\%)"
3082,"-129.30","-121.17","(-0.45\\%)"
3083,"-830.31","-170.89","(-0.73\\%)"
3084,"-947.07","-347.62","(-2.70\\%)"
3085,"366.25","-716.33","(+1.80\\%)"
3086,"-597.13","-397.39","(-1.88\\%)"
3087,"1321.52","-344.85","(+4.24\\%)"
3088,"0.00","0.00","(0.00\\%)"
3089,"-608.72","-667.98","(-1.61\\%)"
3090,"1058.47","-871.56","(+5.04\\%)"
3091,"-1312.48","-908.82","(-2.68\\%)"
3092,"-1117.50","-1252.13","(-1.95\\%)"
3093,"-6281.81","-2188.10","(-2.46\\%)"
3094,"-836.49","-345.03","(-0.46\\%)"
3095,"-313.96","-1221.10","(-2.01\\%)"
3096,"-1824.58","-249.75","(-0.75\\%)"
3097,"-755.71","-961.06","(-1.73\\%)"
3098,"-632.87","-486.62","(-0.79\\%)"
3099,"-459.30","-378.98","(-1.63\\%)"
3100,"-108.49","-798.92","(-0.72\\%)"
3101,"0.00","0.00","(0.00\\%)"
3102,"1444.75","-745.31","(+0.52\\%)"
3103,"-6529.95","-389.30","(-0.16\\%)"
3104,"-667.27","-777.42","(-1.85\\%)"
3105,"-11322.26","-2210.86","(-6.24\\%)"
3106,"-36.49","-706.46","(-1.53\\%)"
3107,"-3271.11","-1053.15","(-3.62\\%)"
3108,"-522.33","-1018.17","(-1.44\\%)"
3109,"0.00","0.00","(0.00\\%)"
3110,"-2655.78","-358.37","(-2.01\\%)"
3111,"-1275.06","-316.80","(-3.99\\%)"
3112,"-751.92","-1111.29","(-2.08\\%)"
3113,"-550.48","-867.71","(-3.41\\%)"
3114,"-217.91","-270.11","(-0.92\\%)"
3115,"-1002.95","-1185.20","(-1.42\\%)"
3116,"0.00","0.00","(0.00\\%)"
3117,"-167.63","-509.62","(-1.52\\%)"
3118,"-873.60","-135.72","(+0.07\\%)"
3119,"0.00","0.00","(0.00\\%)"
3120,"0.00","0.00","(0.00\\%)"
3121,"-1233.99","-738.25","(-3.76\\%)"
3122,"-32.47","-791.84","(-2.27\\%)"
3123,"3105.26","-1106.03","(0.00\\%)"
3124,"0.00","0.00","(0.00\\%)"
3125,"-74.85","-485.01","(-1.44\\%)"
3126,"475.54","-797.31","(+1.76\\%)"
3127,"-1406.47","-584.45","(+0.11\\%)"
3128,"256.46","-419.42","(-0.47\\%)"
3129,"2066.50","-833.30","(-0.21\\%)"
3130,"-129.30","-121.17","(-0.45\\%)"
3131,"-59.00","-518.82","(-1.23\\%)"
3132,"366.25","-716.33","(+1.80\\%)"
3133,"-519.99","-638.42","(-1.55\\%)"
3134,"688.06","-69.46","(+1.07\\%)"
3135,"1321.52","-344.85","(+4.24\\%)"
3136,"-913.47","-1969.07","(-4.77\\%)"
3137,"-5275.53","-315.66","(-0.26\\%)"
3138,"1058.47","-871.56","(+5.04\\%)"
3139,"-125.77","-176.78","(-1.23\\%)"
3140,"-1117.50","-1252.13","(-1.95\\%)"
3141,"-1103.26","-1513.60","(-4.32\\%)"
3142,"-589.52","-1050.94","(-2.88\\%)"
3143,"-313.96","-1221.10","(-2.01\\%)"
3144,"-1974.86","-946.19","(-1.15\\%)"
3145,"-6274.33","-1189.50","(-0.91\\%)"
3146,"-632.87","-486.62","(-0.79\\%)"
3147,"-587.61","-549.62","(-1.41\\%)"
3148,"-108.49","-798.92","(-0.72\\%)"
3149,"0.00","0.00","(0.00\\%)"
3150,"1444.75","-745.31","(+0.52\\%)"
3151,"584.73","-115.78","(0.00\\%)"
3152,"-2046.99","-1450.21","(-5.26\\%)"
3153,"-11322.26","-2210.86","(-6.24\\%)"
3154,"-146.89","-367.42","(-1.41\\%)"
